Symbol,Index
ADANIENT,NIFTY 50
ADANIPORTS,NIFTY 50
APOLLOHOSP,NIFTY 50
ASIANPAINT,NIFTY 50
AXISBANK,NIFTY 50
BAJAJ-AUTO,NIFTY 50
BAJFINANCE,NIFTY 50
BAJAJFINSV,NIFTY 50
BEL,NIFTY 50
BHARTIARTL,NIFTY 50
CIPLA,NIFTY 50
COALINDIA,NIFTY 50
DRREDDY,NIFTY 50
DUMMYHDLVR,NIFTY 50
EICHERMOT,NIFTY 50
ETERNAL,NIFTY 50
GRASIM,NIFTY 50
HCLTECH,NIFTY 50
HDFCBANK,NIFTY 50
HDFCLIFE,NIFTY 50
HINDALCO,NIFTY 50
HINDUNILVR,NIFTY 50
ICICIBANK,NIFTY 50
ITC,NIFTY 50
INFY,NIFTY 50
INDIGO,NIFTY 50
JSWSTEEL,NIFTY 50
JIOFIN,NIFTY 50
KOTAKBANK,NIFTY 50
LT,NIFTY 50
M&M,NIFTY 50
MARUTI,NIFTY 50
MAXHEALTH,NIFTY 50
NTPC,NIFTY 50
NESTLEIND,NIFTY 50
ONGC,NIFTY 50
POWERGRID,NIFTY 50
RELIANCE,NIFTY 50
SBILIFE,NIFTY 50
SHRIRAMFIN,NIFTY 50
SBIN,NIFTY 50
SUNPHARMA,NIFTY 50
TCS,NIFTY 50
TATACONSUM,NIFTY 50
TMPV,NIFTY 50
TATASTEEL,NIFTY 50
TECHM,NIFTY 50
TITAN,NIFTY 50
TRENT,NIFTY 50
ULTRACEMCO,NIFTY 50
WIPRO,NIFTY 50
ABB,NIFTY NEXT 50
ADANIENSOL,NIFTY NEXT 50
ADANIGREEN,NIFTY NEXT 50
ADANIPOWER,NIFTY NEXT 50
AMBUJACEM,NIFTY NEXT 50
DMART,NIFTY NEXT 50
BAJAJHLDNG,NIFTY NEXT 50
BAJAJHFL,NIFTY NEXT 50
BANKBARODA,NIFTY NEXT 50
BPCL,NIFTY NEXT 50
BOSCHLTD,NIFTY NEXT 50
BRITANNIA,NIFTY NEXT 50
CGPOWER,NIFTY NEXT 50
CANBK,NIFTY NEXT 50
CHOLAFIN,NIFTY NEXT 50
DLF,NIFTY NEXT 50
DIVISLAB,NIFTY NEXT 50
GAIL,NIFTY NEXT 50
GODREJCP,NIFTY NEXT 50
HAVELLS,NIFTY NEXT 50
HAL,NIFTY NEXT 50
HINDZINC,NIFTY NEXT 50
HYUNDAI,NIFTY NEXT 50
ICICIGI,NIFTY NEXT 50
INDHOTEL,NIFTY NEXT 50
IOC,NIFTY NEXT 50
IRFC,NIFTY NEXT 50
NAUKRI,NIFTY NEXT 50
JSWENERGY,NIFTY NEXT 50
JINDALSTEL,NIFTY NEXT 50
LTIM,NIFTY NEXT 50
LICI,NIFTY NEXT 50
LODHA,NIFTY NEXT 50
MAZDOCK,NIFTY NEXT 50
PIDILITIND,NIFTY NEXT 50
PFC,NIFTY NEXT 50
PNB,NIFTY NEXT 50
RECLTD,NIFTY NEXT 50
MOTHERSON,NIFTY NEXT 50
SHREECEM,NIFTY NEXT 50
ENRIN,NIFTY NEXT 50
SIEMENS,NIFTY NEXT 50
SOLARINDS,NIFTY NEXT 50
TVSMOTOR,NIFTY NEXT 50
TATAPOWER,NIFTY NEXT 50
TORNTPHARM,NIFTY NEXT 50
UNITDSPR,NIFTY NEXT 50
VBL,NIFTY NEXT 50
VEDL,NIFTY NEXT 50
ZYDUSLIFE,NIFTY NEXT 50
ABB,NIFTY 100
ADANIENSOL,NIFTY 100
ADANIENT,NIFTY 100
ADANIGREEN,NIFTY 100
ADANIPORTS,NIFTY 100
ADANIPOWER,NIFTY 100
AMBUJACEM,NIFTY 100
APOLLOHOSP,NIFTY 100
ASIANPAINT,NIFTY 100
DMART,NIFTY 100
AXISBANK,NIFTY 100
BAJAJ-AUTO,NIFTY 100
BAJFINANCE,NIFTY 100
BAJAJFINSV,NIFTY 100
BAJAJHLDNG,NIFTY 100
BAJAJHFL,NIFTY 100
BANKBARODA,NIFTY 100
BEL,NIFTY 100
BPCL,NIFTY 100
BHARTIARTL,NIFTY 100
BOSCHLTD,NIFTY 100
BRITANNIA,NIFTY 100
CGPOWER,NIFTY 100
CANBK,NIFTY 100
CHOLAFIN,NIFTY 100
