Stock Name,Index
ABB India Ltd.,NIFTY 100
Adani Energy Solutions Ltd.,NIFTY 100
Adani Enterprises Ltd.,NIFTY 100
Adani Green Energy Ltd.,NIFTY 100
Adani Ports and Special Economic Zone Ltd.,NIFTY 100
Adani Power Ltd.,NIFTY 100
Ambuja Cements Ltd.,NIFTY 100
Apollo Hospitals Enterprise Ltd.,NIFTY 100
Asian Paints Ltd.,NIFTY 100
Avenue Supermarts Ltd.,NIFTY 100
Axis Bank Ltd.,NIFTY 100
Bajaj Auto Ltd.,NIFTY 100
Bajaj Finance Ltd.,NIFTY 100
Bajaj Finserv Ltd.,NIFTY 100
Bajaj Holdings & Investment Ltd.,NIFTY 100
Bajaj Housing Finance Ltd.,NIFTY 100
Bank of Baroda,NIFTY 100
Bharat Electronics Ltd.,NIFTY 100
Bharat Petroleum Corporation Ltd.,NIFTY 100
Bharti Airtel Ltd.,NIFTY 100
Bosch Ltd.,NIFTY 100
Britannia Industries Ltd.,NIFTY 100
CG Power and Industrial Solutions Ltd.,NIFTY 100
Canara Bank,NIFTY 100
Cholamandalam Investment and Finance Company Ltd.,NIFTY 100
Cipla Ltd.,NIFTY 100
Coal India Ltd.,NIFTY 100
DLF Ltd.,NIFTY 100
Divi's Laboratories Ltd.,NIFTY 100
Dr. Reddy's Laboratories Ltd.,NIFTY 100
Dummy Hindustan Unilever Ltd.,NIFTY 100
Eicher Motors Ltd.,NIFTY 100
Eternal Ltd.,NIFTY 100
GAIL (India) Ltd.,NIFTY 100
Godrej Consumer Products Ltd.,NIFTY 100
Grasim Industries Ltd.,NIFTY 100
HCL Technologies Ltd.,NIFTY 100
HDFC Bank Ltd.,NIFTY 100
HDFC Life Insurance Company Ltd.,NIFTY 100
Havells India Ltd.,NIFTY 100
Hindalco Industries Ltd.,NIFTY 100
Hindustan Aeronautics Ltd.,NIFTY 100
Hindustan Unilever Ltd.,NIFTY 100
Hindustan Zinc Ltd.,NIFTY 100
Hyundai Motor India Ltd.,NIFTY 100
ICICI Bank Ltd.,NIFTY 100
ICICI Lombard General Insurance Company Ltd.,NIFTY 100
ITC Ltd.,NIFTY 100
Indian Hotels Co. Ltd.,NIFTY 100
Indian Oil Corporation Ltd.,NIFTY 100
Indian Railway Finance Corporation Ltd.,NIFTY 100
Info Edge (India) Ltd.,NIFTY 100
Infosys Ltd.,NIFTY 100
InterGlobe Aviation Ltd.,NIFTY 100
JSW Energy Ltd.,NIFTY 100
JSW Steel Ltd.,NIFTY 100
Jindal Steel Ltd.,NIFTY 100
Jio Financial Services Ltd.,NIFTY 100
Kotak Mahindra Bank Ltd.,NIFTY 100
LTIMindtree Ltd.,NIFTY 100
Larsen & Toubro Ltd.,NIFTY 100
Life Insurance Corporation of India,NIFTY 100
Lodha Developers Ltd.,NIFTY 100
Mahindra & Mahindra Ltd.,NIFTY 100
Maruti Suzuki India Ltd.,NIFTY 100
Max Healthcare Institute Ltd.,NIFTY 100
Mazagoan Dock Shipbuilders Ltd.,NIFTY 100
NTPC Ltd.,NIFTY 100
